iter,avg_best,median_best,std_best,avg_mean
0,236867228.83414072,237842588.5857287,40066341.064265132,470127902.59601992
1,81740016.440682188,85095923.747917891,18161548.475817502,267714222.785162
2,28950307.070774682,27421728.960228711,9526954.6448449418,118846034.05679636
3,11069532.516972993,9823771.2460651547,4402823.1556755062,47358474.521754123
4,5521012.735007612,5166623.1963200346,2207830.253847654,20603914.372645792
5,3900507.7850420098,3344911.8489076342,1876211.7901701422,10616877.053736759
6,3124992.8945973204,2689890.464636012,1858776.2457107722,6573528.8325226773
7,2776224.9104398643,2283513.5695801042,1589626.1236571148,4850969.9528662963
8,2512310.8233348271,2085883.4075010247,1467275.9936903359,3935625.3056686958
9,2337317.1563022728,1961204.3062914608,1325456.1764869117,3452587.364273001
10,2258726.6172543736,1846092.2715819599,1337433.5619814647,3252798.1854402875
11,2209461.4685310135,1846092.2715819599,1329927.0831394352,2962544.8002364938
12,2083246.9019060247,1711275.952343341,1219989.2872674854,2832500.9571767943
13,2027293.1494764162,1598356.7768385988,1224828.2274824132,2734576.6388043286
14,1945318.5593005128,1495005.4364930333,1204884.5847257904,2742830.6637163116
15,1913229.9418735355,1466790.4229559684,1204947.1000244846,2786126.6005747342
16,1868636.9134219801,1405926.6604680798,1196105.1983556289,2490419.8702678373
17,1823600.0900597894,1405926.6604680798,1179688.2645764456,2467947.823604079
18,1734055.2933382341,1352660.8558930568,1080114.835263306,2353152.406622299
19,1656973.5713833577,1299504.2357111752,1025944.3553246012,2402212.6804536269
20,1615131.3796203816,1299504.2357111752,992161.37840331637,2460368.0139370905
21,1585428.3380744508,1253077.0517074959,993879.51532104239,2261852.1642815555
22,1534863.7922252854,1194875.0294873517,965398.04481412843,2109077.995965926
23,1481873.8178042488,1102669.9749162819,936496.27373729937,2015949.2893264189
24,1439505.0628907541,1085235.7223903795,918531.86924189224,2028571.3893507929
25,1398923.5027166067,1032682.9859119009,896186.11834704678,2033591.6650646366
26,1360641.7906001499,1010299.2712119189,878564.98461916344,1881847.9873050207
27,1310651.4676436889,981743.73197090533,861393.32012427482,1796307.3505271028
28,1275393.4259352095,981743.73197090533,851287.5297714948,1756990.5062887473
29,1238585.4930973744,962756.77290571912,835401.13140393444,1700472.968855022
30,1212965.8549783009,934319.15352226421,823009.1466505042,1669824.1721549043
31,1182533.3134304746,863567.4803479407,816636.3321973955,1595131.4810120866
32,1148890.2358066542,825892.21827139729,788126.69745274528,1699720.6692086596
33,1115819.4051163967,825892.21827139729,770777.80619383859,1555973.8930271608
34,1083273.4091796002,825892.21827139729,756413.95131204475,1458468.1589172271
35,1067208.7275211322,788057.09454261465,753505.62388978491,1428144.391367479
36,1035901.712078786,788057.09454261465,737311.61228090862,1419152.9974659798
37,1009204.9713077174,773695.27201386122,731953.38634699304,1474635.4219973006
38,978769.25962937612,773695.27201386122,722711.77148978366,1327440.453607271
39,950924.59362959757,704573.38722455036,703294.30855623656,1285856.5348143016
40,927676.97754412354,704573.38722455036,692192.49185968784,1246346.2409549584
41,895334.42726115405,684480.93647970585,667968.68782213225,1217929.7056963616
42,871770.69965968409,643021.48423045012,661471.48336809827,1192438.307026712
43,839280.11753722781,590715.69137065066,643184.46543824137,1168273.1223799461
44,826628.10376296227,590715.69137065066,642479.5146176446,1123792.4866371697
45,804469.23891324759,590715.69137065066,623639.7662599507,1356588.9891182554
46,782767.20458605536,570051.69031963684,611812.5056778579,1059085.6984467944
47,738662.28404746915,551245.6673079282,574675.02887065941,1128730.2587634239
48,715683.89522188052,522013.53939191176,575218.21479794779,1025667.1741368481
49,684657.62968670006,522013.53939191176,549342.68004581926,961134.1109889514
50,666005.78984329698,507188.16799888661,543379.56972909928,1005143.3186529821
51,632323.01140396215,494659.05935828201,497944.01040473214,895887.89217200631
52,609115.24010520393,491380.86396653391,479486.31723095546,874085.31240946508
53,584783.40891530307,434500.61162846274,454778.29247147287,839575.82301986846
54,568213.78452957666,434500.61162846274,446259.22244741931,829887.35751861031
55,544704.66207791411,432981.47446127218,422652.97335039981,792714.73357896588
56,521407.53130916634,429258.06122481718,392911.88545020315,763084.89344649797
57,509829.97332196776,406800.5703938388,390600.59527287266,737251.4081039126
58,497210.57969361625,393723.21062268317,385611.59356404736,749365.5851879908
59,479777.73005906952,378711.20323537884,381978.72457245592,694253.16959514481
60,467347.03283497429,356273.17498154263,372087.83945562347,678976.18654603453
61,461471.91145465971,353780.85224623315,368361.99098693795,651172.2814569507
62,436540.71581331652,345810.13380265713,339927.86906821874,759167.71756845631
63,426154.25041089609,345810.13380265713,335766.64697176515,609761.55134708295
64,413240.15224081121,333649.57395612297,326025.11878190708,591182.15892164467
65,397153.72540163633,314714.83332096401,308320.31724812259,572175.82110685192
66,383406.44107464672,290006.39943866426,299415.08273021312,660925.8805551409
67,369728.89118174103,290006.39943866426,294051.88518460968,670326.79423428432
68,363972.58901514247,283647.42379675392,295088.7353945772,528590.28656618402
69,353038.08453217742,272150.172322892,290209.09642296343,600179.68463717401
70,343949.08460012556,257571.19161878369,288328.4940985599,484682.48901672254
71,333904.78649954882,251414.58404897695,283059.59600957629,809778.34592608933
72,325224.55523606268,245833.60024122801,280235.39211954875,463724.44637150079
73,308763.52853466972,211503.70955184585,269660.17433039588,661217.12468472077
74,300838.98781488952,204581.52257401252,262287.9291975568,434026.69518420589
75,292613.07891108468,196834.24013579372,256644.07940948938,524726.97565533826
76,280871.71307198761,196834.24013579372,248241.73009385529,419629.14214943734
77,277347.79095842026,196834.24013579372,248293.97637162791,417794.17750203417
78,264613.26083147922,186174.65909631853,242238.9217215832,430222.72504081874
79,252174.00939991025,185429.29754359083,228499.0479084164,527346.37906569603
80,243713.53270201525,171833.41580576909,228257.2979985018,366332.50776362274
81,237810.77364942033,163420.53762827691,228293.4252909144,378668.72977554402
82,227829.4236502311,159816.71265724255,220335.94778433724,371036.88490851846
83,219006.2219799342,139446.75805660622,211500.65794411555,328918.52720412851
84,212106.24001374564,137081.92779288045,207860.05580089736,353438.7256120331
85,207200.95046634824,131835.36133597846,208319.34761407613,328653.61545041046
86,203852.94242276083,128848.65886286648,207038.49308873204,302612.9949951928
87,196043.35742286904,125898.55509190317,201886.63972679799,426827.68672968668
88,187398.88564001382,116772.9021864385,192269.96019220049,277809.54375627206
89,181511.64362056614,111013.32233754656,191675.30301673658,267173.60208702501
90,171909.62404816912,97132.965297134419,182665.52435929014,394875.57314733654
91,163061.79889699296,92034.407244048401,170401.67834189619,242833.87075423179
92,155396.15950511119,89141.30651189544,167368.44340203996,365640.7570771118
93,148162.91246030515,88003.547176792199,162279.39688447895,233448.67945419849
94,144224.2070639692,87171.852646151252,159557.4991251748,229244.05115545122
95,139657.54955973176,84813.117685665551,154137.74110477584,212134.29348954049
96,136723.70266375129,79627.115928754123,153032.49605893448,297474.9554909608
97,132538.25619407769,78944.824629690382,151506.12850486129,322268.43073729216
98,123548.5968223415,73906.444205244596,142596.968642311,215365.43262769474
99,120407.19446849551,73906.444205244596,141562.76526678819,184953.74813235723
100,116717.34503370406,65862.101015431268,137265.65758574152,225332.97061034187
101,114123.65535219021,65625.348938304829,133300.53279240907,296983.64182170411
102,107420.9548814883,64543.799130808722,130841.86608835091,490538.06647025043
103,101062.20359051552,54654.137229990476,123027.46252190669,156640.14637519154
104,98643.715215717253,54654.137229990476,121053.91338051976,149927.92226909802
105,94405.483238024317,52592.987570940328,116995.44576657165,247314.63674013611
106,91974.728194145675,48287.59901151064,116864.53662663097,209302.73495345915
107,88084.876753962672,47400.730824346036,113384.12192824361,130715.6369883752
108,86762.524843934618,43492.340742200948,113743.14690569531,292349.40882308583
109,82494.505438237917,43492.340742200948,112673.70267779096,138155.09923186118
110,80532.897616189774,37564.918112662228,112634.11581500553,121011.50993743257
111,77924.579663435055,37564.918112662228,111622.11548518286,154936.80255640519
112,74479.142121316545,35437.543960700525,108570.82501892898,154064.02647309951
113,72897.143671471858,35437.543960700525,107871.74963685738,126488.20047530723
114,71140.925455748307,33532.108158439281,107217.1756151162,103126.34455941914
115,68251.074632321048,29155.714944408064,104340.8159886916,170035.1746010652
116,64737.697420051365,28220.048998501206,99504.100196809537,105164.03152657671
117,60728.611874232971,27095.979861823431,91511.478323916279,93546.618869368031
118,58063.956721076356,27095.979861823431,85737.571591934713,96536.59783539451
119,55744.915615843514,23152.882139627007,85621.024783873945,87498.193529197117
120,53659.042641613007,21671.526963585493,84930.392445008139,151003.27982133674
121,51538.661610707102,19078.802399138702,84724.765459981427,82936.907039914557
122,49985.319830657478,18340.74949410851,83328.789817331752,81131.060114694832
123,48860.047884491847,17295.245399865293,82976.203495674999,148535.65923865966
124,47279.735974166884,17295.245399865293,81519.754275935251,434245.00898420165
125,45599.398018692758,16674.545393204717,79305.098497500279,171989.21606896541
126,43285.739221846452,15105.997460898381,78076.133897538733,74309.150215660353
127,41449.709520663535,13286.512120237965,76291.411700842335,223299.28759076426
128,40756.803763294345,13033.099641068213,75396.678061850893,67414.90671198057
129,39066.734028244857,11844.47928971856,70309.753052990869,68650.838067393372
130,37165.689605795546,11202.265402741741,69389.007426996162,145319.85102905834
131,35238.568896528253,10639.874781258895,66382.486554022908,224253.44086951099
132,33243.005304146041,9902.5295838191523,64355.202243733096,54842.240597157353
133,30774.624845624359,8985.3204383638331,60884.058669102975,60892.173996673519
134,29308.761293119525,8985.3204383638331,57739.649355181478,49282.366798995667
135,28723.036211004041,8584.3101073111375,57434.908730138843,44826.45756783017
136,27491.934906214457,7001.0791340169289,57136.027915191109,43252.153981463322
137,26176.699503250984,6986.0404296794823,53995.177140470878,56997.641927812023
138,23836.058096357843,6961.8765036083732,47615.733751243737,39341.290670871633
139,23357.078668453676,6701.7337253718451,47390.218789744074,90943.552459418162
140,21361.770762409102,6548.7495371394525,43478.37723234891,48219.817544658545
141,20793.275105985573,6537.6023846150438,42553.039133206446,42031.157317244448
142,20034.269079533209,5284.3623744263841,42294.924108150597,38556.184607322437
143,19064.096393578748,4947.3795019607624,40228.582177922166,30875.815219059539
144,17910.634956187569,4775.6964272581026,39002.818433053384,128726.35490997645
145,17628.949911176864,4496.3705427707873,39034.700360401468,29688.38675177305
146,16792.78160515636,3825.2139205529297,37939.087414369875,28172.151073973684
147,15933.399658053888,3494.3566126779342,37478.142048579015,26243.67521923712
148,15562.68592681567,3184.8745552269411,37494.571020162919,26447.782212972535
149,15180.84851612457,3103.6269533777863,37276.654343372182,47729.106393374183
150,14690.282105770661,2990.2422806398172,37235.728536017821,29916.593975535547
151,13533.146097889985,2575.8523609035456,34045.350196438885,48730.210810600343
152,12929.116986845595,2297.8195906260403,33314.325475634585,22068.120501370355
153,12057.296860969373,2097.3851732207213,30089.149273419331,38614.844731982812
154,11808.308863315699,1985.3036580290939,30005.707763394854,20960.156973861755
155,10863.063711877423,1878.4791838437982,26641.159175891946,57613.662230722592
156,10669.131804782646,1863.0994989936949,26562.01672570785,27786.37134363897
157,10271.903608352113,1734.5614511201638,26347.076502177177,37406.560646985199
158,9719.4710246338145,1734.5614511201638,24865.996941682097,16604.196260277458
159,9594.1713914403481,1734.5614511201638,24496.843172463949,62633.517698767253
160,9179.6575468702486,1625.6194023011426,24080.021449587723,73684.758429202731
161,8856.8739590588248,1619.6564209486676,23852.82317760427,124401.95538786163
162,8480.6811793277066,1480.5452298499517,23144.138300110328,169620.90047301713
163,8269.9634925986738,1463.7929160787357,23080.776789548454,66051.347477800315
164,8093.8021732086218,1448.3383570407557,23020.496542257046,228339.99535793703
165,8003.007048562019,1371.5873699114948,23016.866592261089,13584.196360204631
166,7715.2801779308775,1263.4299509758889,22815.540845469965,21132.001893919893
167,7521.3970968936283,1222.215719376441,22747.665925312576,52761.165284324074
168,7177.2831731810229,1216.8886467451189,21326.130152855763,12245.05584747003
169,7059.5093674696391,1167.9754115768312,21330.567845199974,11830.513713089307
170,6755.4514425661764,1167.9754115768312,21043.47042707439,11110.291897805559
