iter,avg_best,median_best,std_best,avg_mean
0,2.23258e+08,2.24947e+08,3.96175e+07,4.7468e+08
1,3.19459e+07,3.14199e+07,6.83995e+06,8.37346e+07
2,385225,352648,174716,1.5732e+06
3,385225,352648,174716,3.34767e+07
4,384345,352648,175475,3.6466e+07
5,228455,202897,95034.1,1.80325e+06
6,228455,202897,95034.1,1.29343e+07
7,193549,174064,83994.3,7.97586e+06
8,185212,157987,85962.4,3.1875e+06
9,153623,128314,72354.1,2.4536e+06
10,148783,127308,65345.1,2.83143e+06
11,124024,108663,66218.2,1.10184e+06
12,118299,98449.9,63668,3.38836e+06
13,92374.7,85226.8,44974.2,874745
14,92121.3,85226.8,44901.8,3.73384e+06
15,79964.3,78535.9,34133,1.10446e+06
16,79964.3,78535.9,34133,3.6759e+06
17,70640.4,67606.7,33165.7,1.39647e+06
18,70640.4,67606.7,33165.7,3.2821e+06
19,60139.5,54633.5,28989,1.20448e+06
20,60139.5,54633.5,28989,2.80109e+06
21,53284.9,52902.9,25298,1.07678e+06
22,53197.8,52902.9,25275,2.42109e+06
23,45331.2,48656.6,19288.9,975056
24,45326.6,48656.6,19275.8,1.99927e+06
25,40533.4,42920.2,15479.2,749506
26,40494,42329.4,15473.7,1.7699e+06
27,37910.7,37189.4,14497.2,682250
28,37074.2,34260,14433.2,1.44095e+06
29,34040.4,30588.8,14237.4,550562
30,34033,30588.8,14232.6,1.25475e+06
31,31513.1,26603.3,14244,457874
32,31459,26603.3,14247,1.13922e+06
33,27650.6,23121.4,12440.4,439363
34,27612.3,23121.4,12352.7,960654
35,26388.9,22633.9,12553.7,380472
36,26388.9,22633.9,12553.7,822213
37,24404.3,22633.9,10221.4,328541
38,24293.3,22633.9,10318.4,726742
39,22329.6,20232.4,9548.88,297222
40,21984.8,20232.4,9200.2,595653
41,20755.1,18357.8,9273.86,264678
42,20755.1,18357.8,9273.86,495200
43,17754.2,17012,7998.03,191356
44,17701.5,17012,7958.41,427220
45,16042.9,15953.6,7763.61,163394
46,16042.9,15953.6,7763.61,367205
47,14276.9,13664.3,7400,137509
48,13881,12829,7502.53,322276
49,12860.8,10955.7,7855.22,105897
50,12860.8,10955.7,7855.22,276830
51,11941.2,10175.6,7669.07,96293.5
52,11762.1,10175.6,7346.07,245545
53,10683.1,9638.65,7095.69,106486
54,10568.5,9391.12,7083.7,198442
55,9676.29,7806.51,6878.22,82569.6
56,9573.93,6971.98,6910.69,168018
57,8949.83,6307.91,6924.86,70638.2
58,8601.96,6307.91,6526.68,149344
59,7768,5885.3,5814.72,62738.5
60,7718.28,5885.3,5837.57,119381
61,7473.49,5885.3,5743.4,51631.7
62,7371,5816.01,5433.2,101371
63,6647.78,4627.51,4999.74,49750.3
64,6625.57,4627.51,5000.17,90592.4
65,6167.02,4465.71,4863.87,40015.4
66,6009.28,4465.71,4510.46,74817.1
67,5773.81,4155.71,4487.81,34013.9
68,5736.33,4155.71,4517.37,66722
69,5150.6,4126.17,3756.48,30919.9
70,5055.38,3751.25,3704.85,57986.1
71,4580.92,3544.37,2849.95,30091.9
72,4491.69,3544.37,2790.87,46799.9
73,4191.73,3288.79,2587.78,21580.5
74,4121.05,3288.79,2496.82,41078.6
75,3817.88,2858.57,2432.01,17480.4
76,3770.55,2858.57,2413.08,36440.2
77,3384.01,2637.63,2156.32,16643.9
78,3337.97,2637.63,2123.67,31591.9
79,3229.95,2400.84,2152.72,15204.7
80,3152.65,2400.84,2095.36,27019
81,2942.07,2390.7,1942.92,11333.3
82,2883.25,2390.7,1893.02,24035.1
83,2660.32,2080.98,1795.75,10401.3
84,2648.88,2080.98,1787.96,21146.9
85,2490.65,2004.57,1738.02,9950.01
86,2345.74,2004.57,1568.56,17532.1
87,2199.78,1728.08,1449.43,8412.07
88,2088.92,1728.08,1318.04,15292.9
89,1951.24,1566.84,1272.11,7170.45
90,1905.64,1566.84,1149.84,13285.7
91,1773.83,1346.74,1152.8,6888.08
92,1708.68,1346.74,1091.55,11537.2
93,1562.62,1278.2,1009.53,5514.88
94,1500.48,1278.2,846.925,10107.8
95,1463.36,1171.41,866.272,4757.52
96,1460.42,1171.41,865.861,8766.51
97,1331.61,1028.01,835.322,4614.03
98,1310.71,972.625,842.017,7673.69
99,1271.58,967.554,841.794,4258.16
100,1223.39,941.609,821.613,6504.53
101,1150.8,870.238,838.678,3410.91
102,1114.64,870.238,799.92,5588.58
103,1067.93,792.101,775.681,2984.37
104,1005.7,782.182,645.74,4833.94
105,866.978,711.593,593.836,2567.54
106,854.108,711.593,570.565,3942.53
107,780.641,694.076,518.266,2178.1
108,761.152,694.076,486.553,3570.14
109,692.764,641.827,459.328,1786.18
110,674.31,626.317,439.972,3191.97
111,601.401,546.907,387.583,1585.58
112,589,546.907,379.235,2844.11
113,541.186,530.372,315.833,1427.43
114,532.702,530.372,311.632,2434.7
115,496.666,452.193,318.207,1369.6
116,485.488,443.467,312.412,2252.89
117,456.809,402.861,304.667,1196.16
118,447.075,402.861,295.375,1924.46
119,408.931,332.12,267.921,1034.15
120,398.794,328.94,262.601,1660.7
121,368.676,297.613,228.021,872.635
122,350.067,297.613,189.954,1495.29
123,323.585,275.82,175.902,812.817
124,317.447,262.085,167.613,1217.96
125,294.468,255.377,138.562,682.422
126,293.513,255.377,139.239,1100.77
127,278.455,254.103,135.647,631.796
128,276.807,254.103,133.132,918.686
129,247.951,215.322,119.803,513.495
130,242.265,214.855,115.736,869.845
131,221.394,186.302,111.791,478.848
132,217.513,186.302,110.636,790.107
133,203.117,163.312,104,447.757
134,202.802,163.312,104.082,696.638
135,193.832,159.69,100.297,398.119
136,193.832,159.69,100.297,619.034
137,185.06,149.272,101.456,362.508
138,183.589,149.272,101.014,564.486
139,172.661,143.451,96.1487,339.544
140,168.601,140.164,94.6468,500.024
141,161.663,131.538,93.5929,298.456
142,161.362,131.538,93.7571,449.539
143,151.753,114.171,91.6201,276.879
144,150.499,114.171,89.1612,405.283
145,143.021,109.88,88.6901,253.505
146,142.452,109.88,88.3593,358.139
147,132.806,97.4232,89.5163,216.394
148,131.449,97.4232,84.9739,331.044
149,123.176,93.6788,85.0676,202.045
150,122.515,93.6788,83.8771,304.221
151,117.468,85.9111,83.848,192.587
152,116.343,81.1775,83.1342,274.443
153,110.73,77.0191,81.027,180.189
154,110.374,77.0191,81.0517,251.322
155,105.398,75.3723,79.9793,162.327
156,104.971,75.3723,79.3229,234.89
157,98.7242,70.259,76.6946,151.105
158,97.3435,69.6382,75.3602,217.644
159,92.5434,62.4465,76.5833,142.316
160,90.334,61.8708,75.6004,193.013
161,87.9645,59.464,75.345,130.946
162,87.8295,59.464,75.3464,183.669
163,84.5141,55.9992,74.5581,124.054
164,84.2089,55.9992,74.5305,162.262
165,80.3593,51.9267,74.685,110.885
166,79.7897,51.9267,74.7172,150.825
