iter,avg_best,median_best,std_best,avg_mean
0,236867228.83414072,237842588.5857287,40066341.064265132,470127902.59601992
1,227847882.19763675,228643541.50283873,38808159.887861133,349257004.95790094
2,218719378.69073641,221598411.38809711,37493318.052395523,289306611.22619575
3,210497867.89371979,214359773.55528414,36846101.023353294,253809886.20273516
4,202868440.95695788,207521802.06323549,35964685.406440169,231245981.07333726
5,195786279.77640018,198497122.62423736,34866405.473930113,216733806.92654446
6,187941070.96480981,191009406.34847385,33970229.085282616,205158884.30057749
7,180466906.53312221,182833920.99019569,32665166.393071108,195957143.3380155
8,173660179.91025287,174234843.688945,32032046.785214998,187738632.73338631
9,166716989.57936901,167260121.44666898,31298653.954789259,180288718.34891403
10,160292291.88853163,160692015.08855116,30672124.659438368,172499257.76351324
11,153967846.62832749,154776532.94734317,30156628.11517806,165744140.27660003
12,147613447.54203585,149320711.84900028,29071696.505772274,159209551.21494558
13,141621365.988837,143978002.00591356,28201733.520433411,152676331.88454941
14,135986705.54569593,137605286.30426472,27133384.262061141,146708433.73372066
15,130347929.88426389,132484297.31052566,25939807.426083084,140827281.3429895
16,124869547.97870444,128345187.46457335,25067387.486450829,135061296.39787465
17,119671933.98323293,123779435.05501473,24365274.148641773,129657350.75112481
18,114821711.11181043,117667801.38534817,23701292.011175726,124259438.66677204
19,109546152.69234289,111342017.90866099,22948280.549889259,119198211.9379404
20,105248616.52531242,107347297.41937223,22321612.231527269,114011599.56318188
21,100572555.48126303,103323459.06877381,21870120.426856425,109085916.33921884
22,96126381.77106005,98414574.231719762,20918035.505530521,104505523.10136859
23,91879317.029967964,94740364.034714848,20242927.111414224,100142122.8256273
24,88072177.377194807,90600464.123569027,19576898.773281943,96067608.370031863
25,83996715.47255677,86569293.422409683,18713387.793059058,91671506.452524707
26,80454307.142136112,82961281.221292153,18318271.054243978,87494599.628233045
27,77034652.67666842,80226953.909792796,17624737.680343181,83810724.552430883
28,73296790.886073619,76362015.827043891,16972885.57904302,80060249.282767206
29,70060055.885959342,73886431.444540083,16456029.673685292,76390509.869604245
30,66815632.293578282,71333193.834002718,15796946.93626987,72868975.674390852
31,64037866.420372345,68400296.281292289,15517549.489306303,69891731.255681396
32,61222108.818475194,65200349.235109918,14885897.681276951,66764407.178438224
33,58280119.7300824,61929337.248519167,14328967.519356327,63861511.481350467
34,55687083.643924624,59045687.050193176,13965107.172311181,60810843.573012196
35,53075796.467087865,56632021.754400685,13797226.508366993,58214918.140946999
36,50520203.260643691,53906307.311854333,13122739.008252662,55497212.317694202
37,47999317.508675441,51156736.984767944,12630298.767013473,52800586.002431124
38,45757980.473145403,48828023.243782327,12268212.698645219,50320664.913856536
39,43632538.548103802,46919734.353493363,11681675.758841511,48015202.339212984
40,41432480.153225817,44033671.897622779,11153059.859756391,45614810.869324289
41,39479484.183687948,42086584.870988727,10747030.633950584,43306143.150381275
42,37578342.794412397,40101236.29753495,10349875.334786141,41343801.522406861
43,35646860.041687749,37389495.799513511,10079405.586124739,39338950.297062919
44,33638540.315966584,35394609.624490775,9544919.0930453222,37356747.257308431
45,32027410.869333558,33730857.741098717,9324771.2127178293,35526608.178664692
46,30425460.380212903,31719999.205970645,8970316.8415883854,33728424.125144236
47,28954858.936123822,30128236.768519763,8717693.8432470337,31998803.270307962
48,27401436.058480453,28293548.354916103,8412295.8550510462,30424862.209446594
49,25876652.152303711,26782489.491834015,8077112.0464296881,28813704.877138179
50,24502041.814893253,25769678.402295768,7702539.2788504669,27303553.458271209
51,23298793.169900481,23842796.682648495,7452366.687628164,25847709.233358227
52,22066617.506286882,22653188.480675496,7209935.7151730154,24580675.800828349
53,20891626.630896337,21318318.917950071,6927351.7583593726,23200455.97806998
54,19757800.712803915,20209917.041583687,6651891.8888634676,22080776.603031758
55,18619604.565606095,18919910.844460309,6419588.8672374077,20870886.453787811
56,17636107.023368157,18036949.941392019,6228678.5707525918,19713824.458264347
57,16579584.16199293,16953522.775069796,5937189.6824880037,18601832.666970234
58,15603699.45375335,15819088.673988413,5607066.5728591233,17556271.476144791
59,14729573.685362482,14770585.189142004,5264911.7203085376,16549351.146573273
60,13889618.203600174,14130875.458629049,5009515.49501957,15633325.488613026
61,13053965.557713348,13216381.147492878,4754674.1590793878,14730176.957451981
62,12261096.072449638,12453436.53957681,4509214.8758424409,13837569.596500386
63,11497921.538598975,11678116.828360511,4300654.2355397521,13039508.88952616
64,10856824.349079842,11086049.360075526,4123233.5081698899,12271316.121771391
65,10209536.249308368,10276757.501578487,3944523.6838877038,11559574.161925282
66,9543723.8090953063,9513588.3859757446,3785345.2439867407,10847243.16584214
67,8977679.1258421931,9014968.4488233887,3632990.2938699811,10148707.979936296
68,8431694.0653687846,8388162.8418807024,3470548.9006822854,9543684.7551889233
69,7877419.9359494746,7806843.9843469877,3326023.6037565824,8970167.1815964337
70,7381555.4832852548,7252666.4931592979,3182166.7213643547,8427583.9828467648
71,6862103.4838430006,6894172.7795493845,3004843.8308440847,7878753.1396797597
72,6378287.5075156353,6338774.9077850506,2869299.7787260097,7379867.6158288214
73,5915747.1618267028,5858808.1183160134,2706589.3560542949,6873616.9418294709
74,5501833.1496126913,5350626.0826117052,2591247.2470112899,6413919.925916167
75,5106549.1843993384,4824751.9186785892,2470649.4026467917,5956116.7964948667
76,4756565.7937003653,4424781.366842648,2329134.0139849097,5542830.9863098301
77,4416684.5850546565,4136399.3107533222,2189883.3774469602,5158421.777173779
78,4089768.2506186673,3978365.881412073,2043450.6546418015,4774401.1064961748
79,3779698.2186648822,3597405.2615431929,1926384.7792642959,4428112.3352250578
80,3494553.3843317186,3324611.4201600035,1775104.3512148655,4106493.6017546891
81,3247057.8431617883,3130819.5159775284,1678560.2694995303,3798596.3065083078
82,2963764.465804995,2837657.6768040806,1525257.8569320529,3525822.3025428443
83,2739151.5720089697,2686561.2443182012,1437786.9973022842,3244525.5531077967
84,2510507.8575849649,2472409.0541748572,1310623.8487240192,2999669.6307726591
85,2315886.4171510902,2215322.2352735801,1237831.723131533,2772085.0333266491
86,2143822.2868051534,2046634.3852442079,1160421.5196430422,2550628.6890346208
87,1971310.2402012008,1922672.6065609183,1081041.4499514678,2365879.6777563649
88,1816613.3411299076,1720270.47270671,1013652.7503088886,2180850.8301563705
89,1672065.8812906123,1553209.7610112275,958195.08165860362,1997179.5572894786
90,1535968.233137635,1373174.7835760762,897692.01071797765,1840090.1392036383
91,1415070.0191014237,1265492.6996674612,847806.68973801192,1710492.7253232044
92,1294709.8620100403,1155765.5793034239,785963.93135645404,1574978.4551603529
93,1175710.0781928897,1055850.3201304048,727665.07589440327,1441531.7292378086
94,1065035.9619360575,937728.48307463247,675764.74251478887,1317522.0966807166
95,973772.50103017397,833703.12006675696,632646.05428333301,1204435.5537612557
96,880064.94121480151,769091.22514585662,575344.87119469023,1094884.9599303084
97,793674.68111465254,690403.28450582887,529320.72197494539,995061.77929641667
98,724297.31444873486,608025.96579490183,494187.28653536853,903070.61397242884
99,661252.60390798328,546585.7877714138,458062.67147289304,818388.7194094588
100,594755.59177500405,513953.63180093339,414894.42556374916,745039.64987222478
101,530356.13572499261,454469.37560376816,375080.7090549756,671914.25662670087
102,471784.29251422535,411398.87812510418,337595.68208540359,609282.50827445218
103,418928.18931360164,362212.61784462922,303271.14748120599,546319.29343303456
104,377191.17327468947,321417.16738519474,281686.02036330325,488991.7340746785
105,338879.76242303202,282612.37456558167,256726.56360234212,439399.2479086513
106,303845.47270482878,260878.05583639001,235287.23641544115,394046.4766700078
107,267263.77111008769,222839.24216828734,215481.61207892909,352110.67955086875
108,236930.12502443243,209852.791759396,193399.84524412453,312806.45474808477
109,210987.36119661664,171121.0473188227,174346.47386981698,279444.74601538753
110,185547.10288495186,144204.33254139416,157274.06439344669,249720.7189411569
111,166740.37489994161,131041.60985274531,144969.83769552223,222569.62779042454
112,146313.14154746762,114550.29065039614,126215.75363671817,197517.99445283122
113,128935.21166278608,100901.71032390137,113419.30533680374,176553.73883526411
114,111930.90090277519,92395.13396323935,95969.991591732061,155779.04851532265
115,97053.264533908863,79418.658362038565,82634.595354770398,136318.60475230162
116,86455.463220080637,71294.270105803793,73380.976327810844,119686.97846310529
117,76176.068395719194,61769.003630753301,66440.298484352097,106426.56173896021
118,65788.052991470206,56007.121503994364,57110.958049605026,94055.994700295079
119,58469.137128482042,52137.938352390156,48950.078215418078,83240.205667489019
120,50169.637249006628,47365.173342771719,41311.102844636669,73034.909774397078
121,43599.231633036296,41587.671676503684,35459.69519126969,63593.238007584601
122,38517.109534908275,36831.71800522253,32376.058476008791,55251.860281314635
123,34616.054197972517,33547.218226683537,29195.085276709775,48396.354132126893
124,30035.287465993566,29417.944766187062,25479.75379884724,42906.429359519017
125,26418.629171794186,24974.923742795225,22375.162753155553,38177.928864312868
126,23587.571585880731,21943.770143048834,20231.666383193511,33705.915524754833
127,20614.051006928828,18148.719091721596,17620.092128481574,29797.169725895172
128,18833.193534516446,16979.363211293272,16328.623818216498,26452.843009919485
129,17220.09592577452,14193.230240268987,15459.808762241271,23928.26301902414
130,15492.805093866151,12228.113147458211,14285.911548432498,21664.965993852704
131,13970.504194282255,9757.6149075646426,13210.560145792588,19610.398999412697
132,12478.923185491924,8123.2809306188137,12386.867395695794,17732.360797458128
133,11725.013484701249,7032.337265868382,12126.436370504711,16172.404871445857
134,10780.953740963772,6920.3785552610279,11661.387174127469,14856.398437273223
135,10170.563362051729,6920.3785552610279,11001.590874572561,13746.204279603997
136,9363.0740381845644,5663.6023656484267,10579.891119434295,12773.064589147847
137,8776.6733416807529,5153.7420263774784,10225.261994519848,11918.906478492996
138,8158.1405419471957,4186.6789236027325,10009.083959279518,11091.663244002963
139,7785.0471774907201,4122.5297584934569,9536.0989860984209,10403.264422686128
140,7245.272648128187,4011.0201960713471,9181.8313095694903,9766.0560731502974
141,6880.4756063321647,4001.6987164647699,8759.8232178765029,9196.3987975005221
142,6569.4371502059867,3961.7823852943206,8457.8238709813722,8627.4615444132105
143,6146.0289413136579,3867.5683113574305,7823.9088438687804,8142.3130361994963
144,5841.3034479206999,3646.0299424961213,7531.6992586751139,7694.9315359688453
145,5436.4021634769661,3442.4406291052674,7034.9202835779633,7310.0349472178632
146,5217.0660871973532,3442.4406291052674,6878.2030862946795,6886.1883301882808
147,4932.2674668361542,3371.9547687463373,6435.6643911390638,6534.3393119902139
148,4698.4815187629729,3334.9567782759323,6170.4304163605348,6193.5843181254495
149,4467.0839365558068,3334.9567782759323,5840.21377553205,5865.8436761346493
150,4284.1830723242147,3334.9567782759323,5578.2010289720665,5610.2042545845434
151,4067.4842015929944,3334.9567782759323,5331.9978083289161,5384.5724528430701
152,3947.5118436621124,3298.3675978482242,5013.9253541790667,5155.2389078657043
153,3727.0671806544869,3033.7053570946441,4746.460604002692,4971.0608706218609
154,3558.3610448682825,2879.5037586034068,4506.3947466156778,4783.9511723339838
155,3454.8938813450864,2879.5037586034068,4239.6612834710204,4584.2729669913297
156,3363.5740121037629,2813.7897159591907,4145.8201946490271,4422.30298428689
157,3251.5652459254557,2662.8114686132808,3954.2159183700442,4288.2776031385611
158,3131.8847442915621,2614.5055077153229,3664.95972159452,4152.1037451283273
159,3029.0141180842734,2443.3230543785767,3480.1536372785945,4021.9400362870524
160,2919.2290421933826,2373.3086447893884,3446.9014504397915,3888.1258730426866
161,2789.228089950665,2281.710766931476,3137.8217280287477,3754.1366136895081
162,2706.7230924167006,2145.9158079349836,3052.4362334846669,3612.0397085462059
163,2565.9967746591547,1746.3809192219501,2805.7723063513222,3493.7010587193404
164,2438.5541447758246,1698.0356062824635,2566.8445355086587,3357.7498463171682
165,2348.9641232554086,1597.9003534138046,2391.4377504174204,3240.5283333677057
166,2232.2756198865736,1597.9003534138046,2083.7659612560756,3118.2991795600369
167,2151.493860438668,1592.6875526281465,1905.0591873928129,3003.6676542200962
168,2090.7982754851737,1498.2557092455884,1899.040356298196,2887.8693741292477
169,2046.8807563464129,1394.5406309127934,1810.8614487991654,2794.1226848091856
170,2016.5749700598485,1305.9004072177099,1778.9576747830979,2726.6769010343464
171,1966.4046224208942,1254.8229326483452,1645.2818928334364,2661.6288753970821
172,1912.0820869890063,1153.9196379269004,1533.9264955851791,2594.553159275928
173,1871.3443644153454,1083.2622139452587,1449.8766528700314,2531.6362005169772
174,1825.0061349630303,1045.3629825449527,1391.9419818896097,2465.929997549742
175,1803.3865071402445,1044.0926063451452,1359.4519945662876,2431.611339550042
176,1789.8496808232449,1024.1818612058837,1327.0391014351414,2386.2968120559517
177,1780.9845866839021,1024.1818612058837,1332.1755959882928,2344.5066818493247
178,1747.8818230630504,1024.1818612058837,1267.9128185568886,2310.9505110987866
179,1729.2629637717305,976.2522616707779,1281.3498191129611,2284.3790005274382
180,1716.9481978977904,976.2522616707779,1270.6187262461617,2253.7395898674367
181,1709.3081437974445,976.2522616707779,1269.2293507264626,2227.4235545282277
182,1670.924616429744,976.2522616707779,1186.8883563131214,2206.7272981646588
183,1636.0891825585725,976.2522616707779,1148.7268048192366,2173.1568474781689
184,1612.4967496537968,976.2522616707779,1131.4085269469072,2139.4701083289033
185,1612.2734774329183,976.2522616707779,1131.2487065004577,2109.1119812193306
186,1599.8597508106609,976.2522616707779,1142.6068331723227,2082.987645506686
187,1583.6341837005155,976.2522616707779,1126.0445352233698,2060.8979427545951
188,1578.946246914343,976.2522616707779,1126.5060926152664,2037.5031246408664
189,1561.6864434468723,976.2522616707779,1132.8413944349454,2019.9873117010636
190,1548.853280749923,976.2522616707779,1118.6649126693533,1998.0894401359365
191,1525.4441474536397,976.2522616707779,1105.099943517253,1981.4609921395256
192,1510.9236617208358,976.2522616707779,1094.6288192023308,1965.4479032027348
193,1495.7447159539165,930.97517974136269,1084.4323502158616,1953.2249029103912
194,1487.3775171441666,930.97517974136269,1078.9593744656815,1938.4398048181806
195,1484.3323988330542,930.97517974136269,1081.6009509910186,1924.5451351123952
196,1483.8058676337375,930.97517974136269,1080.6379969080654,1911.1182121805175
197,1478.4893795601763,930.97517974136269,1084.0265618989959,1903.6052172353973
198,1476.3841793826944,930.97517974136269,1085.9555982261622,1892.9088666438954
199,1474.2589980728694,930.97517974136269,1087.7784390978516,1880.989659514353
200,1460.5511586145958,930.97517974136269,1077.2470257347445,1870.9556624512597
201,1455.2818436554946,930.97517974136269,1077.5244741986644,1859.8239150665456
202,1453.261532481388,930.97517974136269,1079.2048013298736,1852.1684775893725
203,1450.7939166252763,930.97517974136269,1079.1241888918137,1845.1203593493551
204,1440.0252017189875,930.97517974136269,1074.9466961421747,1838.5358872447664
205,1436.789453546241,930.97517974136269,1077.7937372651838,1830.3741243439736
206,1425.6360408772509,930.97517974136269,1087.0964880548686,1820.6232949009764
207,1422.9342074980352,930.97517974136269,1089.6545339241288,1811.6658144728724
208,1418.7784083999557,930.97517974136269,1090.2477129272215,1802.6938806944393
209,1406.2766394824459,930.97517974136269,1089.7775699346939,1796.1528998386659
210,1400.0874729566833,930.97517974136269,1078.7421299311359,1787.6556934332386
211,1385.3260059327501,930.97517974136269,1078.467104534938,1779.0305400764678
212,1385.3260059327501,930.97517974136269,1078.467104534938,1771.7830146699328
213,1384.288779942716,930.97517974136269,1078.7870613907221,1760.9375010763638
214,1371.035696442126,930.97517974136269,1080.3461389283586,1750.1125911628187
215,1365.3602332216676,876.2935947209686,1082.6964019811107,1743.4068448056498
216,1359.3353179423982,785.9198655319276,1085.6475242420938,1734.3933724845615
