iter,avg_best,median_best,std_best,avg_mean
0,236867228.83414072,237842588.5857287,40066341.064265132,470127902.59601992
1,74661247.785115808,74221161.376750469,18878175.632426258,266016391.83261496
2,25642701.528459873,23673449.53743241,9737150.1503800694,115922040.19022702
3,9646997.2255766783,8646839.3182419818,4579999.4927581735,46207286.577519976
4,5477165.6265665535,5226392.5646012044,2577391.9873547708,20412362.755732391
5,3817309.2260886678,3518244.7439246885,1783594.1300205048,10702266.984847521
6,3250281.1080418089,3099165.6597886244,1519929.6289189958,7465583.3540636087
7,2885345.1050973837,2614978.0514946533,1527794.4559368039,5653330.9566934342
8,2776951.5984861893,2399288.5875323811,1501404.7867642816,4410085.5673324987
9,2672558.2845287672,2172408.9053286384,1474622.908784217,4000364.7075720164
10,2614702.3035647413,2169965.8359934175,1450635.5214133579,3913355.881056855
11,2568212.7704518186,2158765.3751089997,1432167.6617904478,3713583.9778412376
12,2438230.2629465121,2125643.39946518,1264165.0355176295,4202244.6992189121
13,2302046.6514158961,1873074.6562305982,1232726.5138424064,3568068.0475020017
14,2261082.5846114308,1843800.2203593161,1235882.3965985139,3232043.331180641
15,2246451.8020618572,1843800.2203593161,1234090.854370717,3373572.8183124955
16,2202804.1804502876,1805173.4607129949,1233804.4424944138,3107676.5473329597
17,2053502.141838629,1756377.5918170917,1108513.0219143794,3837649.7866253206
18,2027678.8664445216,1732277.7857235167,1104963.631551787,3131200.9123327662
19,1912615.455773551,1657201.7430125736,993118.69404083281,3185912.5568110575
20,1860633.8083187933,1657201.7430125736,982561.26379491133,2621271.0670908419
21,1802737.7759897285,1655876.6738870144,942315.2457379289,2910145.964715227
22,1713162.5314728564,1640554.050131782,871864.2571142501,3005232.2984218523
23,1666906.3217859624,1622681.0955562782,880953.73551884899,3314762.5517368331
24,1638581.9926232053,1605145.6006835643,885750.32264011365,2843281.2616971536
25,1604491.0851296554,1583708.1085066181,883146.25143053324,3068261.7964232266
26,1543559.3621600408,1352154.5469634268,849671.0334191419,2563682.1645219689
27,1531077.8340412641,1352154.5469634268,848206.04109099228,2374247.7520079412
28,1504586.6335469449,1266232.9040807472,844053.19736342982,2163767.6981274853
29,1484413.06971544,1210217.1155970613,852671.18868306116,2222868.1144457231
30,1477646.1101745446,1206786.7484763428,841790.10213931079,1919631.4220562808
31,1461131.5078785815,1194245.1278143274,840712.47738020204,2671627.1708093169
32,1435919.293989118,1174380.507519399,850749.87701612152,2252743.9917399096
33,1386422.2691894185,1172168.6697581806,759433.45530554093,2292910.3909981814
34,1361823.0294205309,1098774.1430145716,734971.4920269252,2151267.703300538
35,1339398.0524164971,1093883.5175908287,729767.44963582407,2644685.0181739763
36,1285264.6562879977,983578.98093380581,738274.6054042055,2057041.5442796745
37,1255707.7137079714,974011.91902321321,743039.83222138742,1878406.6049181141
38,1247234.5890799921,970891.37649242359,742076.73570931354,2367209.5313513484
39,1231478.946781069,960759.05414284603,748375.23618946271,1790523.3238112747
40,1190289.3662442204,928019.02378799277,698811.87371703831,2465295.1844974463
41,1186007.0740608275,928019.02378799277,698073.78685500252,2249134.552805379
42,1181191.3888071908,928019.02378799277,699597.35903978604,1949089.5490482359
43,1143606.6242423125,920380.55925464106,664027.12613727851,1558023.2891494019
44,1112300.5354257999,888761.93478266709,628896.99884228455,2012658.6173618585
45,1104300.1446562361,883782.92111861915,622282.2820027445,1818823.756907064
46,1063002.2628887417,827096.96667723509,620863.24277521367,2573311.6064540888
47,1033858.4274325888,825046.62203186681,577752.86175723048,1690542.0564754128
48,1027247.1848091673,813310.51414296427,578418.35349948367,1847168.5435429339
49,1017830.2279712535,802652.11584934639,577820.95555600966,1470289.4721824364
50,1006645.7715879121,796478.58791911392,578494.2795196618,1437804.9472840955
51,986295.69099291496,793854.54707145388,576000.52630952932,1561347.8919782327
52,964835.57473216264,741618.98080008989,560123.20104028506,1772677.5073571692
53,897413.63039492711,718040.5466895178,511103.44063921517,1393305.6557387812
54,877162.92300259741,718040.5466895178,497051.20247277379,1352761.0729489319
55,869762.75097395829,718040.5466895178,499863.57071960898,1380452.2569184878
56,858795.73455495923,718040.5466895178,499105.29314773472,1438222.7201848808
57,855348.73705487966,718040.5466895178,497242.42457452585,2103345.4936575862
58,849624.48334425141,718040.5466895178,496743.05977520195,1330862.1094707972
59,845745.66812997707,718040.5466895178,499637.32036545139,1900052.2276880729
60,841877.92049856007,703646.39601445803,499449.4215047317,1696801.2224194421
61,830747.23289234145,671790.67523983307,503342.85020673642,1294309.2855865587
62,820597.07783410652,657499.24090033025,503858.55162793881,1170180.1943712116
63,810457.13898411358,657499.24090033025,498595.6076770653,1290678.223371529
64,800851.39123826218,648244.79195158265,484133.6307869177,1637474.1771878458
65,797200.16681897838,643299.83998515189,484227.75738465565,1604542.4443262061
66,792195.72848983679,641189.77904661559,483494.86651254253,1537748.9781684368
67,783574.94267568318,620491.89097745041,482350.48161104479,1577994.2499433348
68,770406.10676052386,599406.71773843933,482556.86665331433,1602659.234805963
69,758765.11323391402,595790.65807543055,482584.90772427391,1710792.080307682
70,753233.00083655468,567209.6246185354,484771.39501130831,1731112.081078992
71,751533.72822714702,566271.63992537267,483726.97948660876,1441147.424890517
72,747289.92010392703,561175.75037964038,479734.94526082772,1130789.3080848674
73,743006.64754763478,554119.75588708231,477845.48654973041,1547765.3526537337
74,724898.2957734135,549479.9825920508,439185.93855629792,1792724.3263927966
75,720479.26368992892,549479.9825920508,438942.16514188115,1609337.5666600002
76,716490.70043392642,549479.9825920508,439553.63423629111,2185774.9194237776
77,709910.23652098188,549479.9825920508,439816.51007915876,1811739.3363026031
78,705040.51198204362,549479.9825920508,441501.27050697349,1189433.9258203222
79,694951.73838079779,541831.28351835301,439814.24774838978,1565163.1365931032
80,663269.93320311233,518594.23147990764,388941.13507450186,1635799.952326983
81,658608.30184237962,515243.03138186439,388392.42317197967,1707410.5472206825
82,649707.18385966751,512448.80001287232,380444.41524432052,1317551.7203627075
83,643467.11928131839,497527.23050603166,370988.66324620898,1324246.4667283124
84,638853.70155080105,495533.86439253436,368121.70350389415,1107267.8284653358
85,621787.78581629996,491840.14743385499,352243.10867042787,960769.58795681677
86,616300.11014323356,491554.76755421504,349099.90664161375,1643831.7224012881
87,594058.48497761018,476634.36390575208,324690.28168379079,1348979.9195753396
88,584039.50545348681,470137.9615745811,322113.15131471917,1157208.9015912218
89,574657.27865497617,456960.72591567098,326271.59873431729,1768369.4575023958
90,571033.98140132101,456960.72591567098,325866.8102911741,1455813.4506991692
91,564519.140182912,456960.72591567098,323304.88877162512,1213150.092904038
92,560530.3667346352,436644.61080003914,324987.56070548558,835614.47545995947
