iter,avg_best,median_best,std_best,avg_mean
0,236867228.83414072,237842588.5857287,40066341.064265132,470127902.59601992
1,234781351.30103254,235835826.61112767,39808708.288700022,259702753.16219193
2,232646710.43077251,233076874.54851693,39531720.023886628,237213350.52702835
3,230636369.49317834,230769825.47241676,39324011.235524759,233017072.3167381
4,228679676.9413484,229133460.40793091,39161021.198299676,230794156.07155421
5,226780986.58976477,227391945.82478529,38961188.585804477,228815981.16480774
6,224811822.96870947,225070360.74382854,38709131.516671054,226946146.26734012
7,222923581.4598819,223299923.49565274,38373333.985590219,224991332.97692809
8,221013994.22925386,221357217.84102696,38205605.147460125,223072798.42067686
9,219012551.14587709,219387159.92872921,37980214.55599498,221099771.679225
10,217154628.31738994,217624743.73922428,37819735.55845964,219158509.4169628
11,215243212.29230124,216063651.52866703,37660580.119162954,217302759.94248167
12,213330248.05105326,213986403.2926563,37476626.280938558,215415640.70053864
13,211472515.88591889,212162590.26045668,37262890.629713409,213495556.29802594
14,209660076.37685603,210027601.09031859,36966837.206701085,211599346.51037058
15,207798457.75720188,208379845.46351987,36660878.698868342,209818912.83311516
16,205899956.69177198,206311392.76573485,36327174.689768456,207927994.85993737
17,204028760.04647905,204195019.94459474,36073911.875235178,206053162.14668027
18,202220659.39522392,202719669.73406607,35856571.41490081,204179771.64471683
19,200309426.80807617,200677813.60147905,35671075.239732675,202336522.45773762
20,198553524.30227998,198860973.97340018,35448609.892536044,200469733.65930432
21,196714168.42048588,196809489.75100046,35288471.159090564,198653852.2868585
22,194907488.63892499,194888691.12124187,35044485.704389773,196859041.55560848
23,193172435.76437157,193240973.48926681,34887346.282449737,195072006.25256047
24,191512831.7455433,191709472.08334678,34732945.701878324,193368570.05698594
25,189757832.08938965,190119055.26158276,34527383.219329424,191624489.1441651
26,188144227.82234362,188512637.90462294,34344332.091085687,189897356.69702178
27,186371479.00156268,186758273.03778261,34116400.220153347,188290401.36435956
28,184586934.31329575,184821954.77154341,33841891.783252008,186525879.10653874
29,182910631.37311408,183166229.03003982,33653730.270208031,184719735.31564993
30,181245340.17846724,181513103.37796509,33439515.879362684,183011997.19008541
31,179665772.54977101,179775408.73588219,33274090.959409378,181418940.3657048
32,178101781.26672012,178196994.27664864,33012501.847897828,179808018.70902643
33,176439349.07965177,176786193.87662363,32736911.517737627,178268762.50405225
34,174818419.64842659,175113509.28954178,32586814.12705674,176538154.33381477
35,173311877.67563751,173691157.27018711,32525800.177189853,174961012.21606201
36,171668752.95524883,172027237.33634323,32264643.217116103,173415639.36472577
37,170048288.02678463,170557762.66352546,32087417.003792912,171822711.85499299
38,168529604.07873315,169292543.5472911,31904655.336652081,170204595.20202407
39,167086339.05604842,167932795.88863522,31633479.000183854,168685765.92967072
40,165521490.78733021,166164597.68891165,31399625.633567054,167195850.76726368
41,164064233.58623269,164696985.33391434,31175699.942829903,165636556.93950188
42,162643300.91084182,163524725.76953936,30977008.776768949,164200264.95541894
43,161088931.09610268,162203610.82946676,30854020.031546559,162767427.58889416
44,159611547.69216791,160806265.75776088,30632632.671685345,161195532.68031338
45,158185779.12359816,159674914.05764261,30579456.609626889,159757717.92058852
46,156689722.82903787,158167324.88951695,30415165.578310691,158320686.70247883
47,155251775.19716129,156426037.0794374,30191497.221478418,156839296.62385288
48,153813350.61694023,155085882.16757977,30056358.365125511,155385064.88571817
49,152330663.1106998,153708473.0429289,29846972.210575476,153946658.99749118
50,150854119.88574398,152133409.32340667,29638732.793785006,152469321.66613737
51,149510181.60494867,150534599.95246887,29486618.380019035,151044867.81949317
52,148117530.22371772,148942817.27856338,29380041.97664801,149628422.08577049
53,146769945.55134284,147457712.15599853,29253185.248811468,148228600.29479152
54,145492069.68237844,146358450.736595,29105104.75921746,146902539.05738342
55,144131748.447557,145043455.30825621,28953850.685699359,145588354.77876243
56,142818162.57637426,143927938.14352536,28817329.450822782,144259699.60262474
57,141431490.74899983,142635603.51123965,28609578.409980964,142930501.72330025
58,140111965.00733945,141182076.40552497,28337953.951035216,141528412.89235169
59,138736214.30405614,139700677.86822343,28128592.231027182,140206105.69295251
60,137313979.23574862,138497691.20480847,27890686.412193988,138872412.79690865
61,135965843.70680198,137027305.61490163,27677437.612294748,137440911.25514859
62,134688796.15845847,135771382.69105548,27511306.640197393,136076655.0119859
63,133382660.9542006,134533372.16796076,27420987.052515004,134800982.33209947
64,132097517.36571203,133184047.98112065,27318314.484306611,133494869.6414237
65,130836557.43429065,131817124.90628141,27131753.281788826,132206456.07510456
66,129584261.33073242,130574173.32073411,26961923.763200819,130953884.23141445
67,128421381.47344615,129423664.93613566,26804499.685633082,129707259.30362791
68,127159841.5826053,128137507.68964845,26626024.431283023,128508392.45902586
69,125895098.31555524,126792700.76054248,26480258.196148764,127270425.25176039
70,124780307.72598927,125739971.05511813,26334551.429519493,126009681.63804905
71,123567635.81908545,124642084.43214878,26132260.261960849,124829192.50076556
72,122342926.49186525,123342156.03878012,26029747.377308153,123666954.51787907
73,121260692.83914883,121914324.15438712,25853839.440257959,122411755.06166194
74,120076365.81282932,120666043.57703476,25717025.312828336,121352834.23078349
75,118980221.84176022,119307406.46811077,25655425.069525581,120179777.72245835
76,117809420.80530666,118057702.21419802,25458838.796700843,119075946.91016343
77,116668643.0072093,116960553.047591,25256529.990702987,117913216.16664129
78,115413731.61551206,115932548.95005742,25003846.492033005,116738833.26752307
79,114284050.56884018,114958900.64887655,24791732.61368395,115544202.15089454
80,113155925.86494493,113912413.39629002,24614568.941056091,114378015.7925808
81,112128000.99500166,112734805.31970513,24455965.024432097,113289215.67104979
82,111043220.69995876,111510578.26979911,24282496.345970426,112196699.92993917
83,109938201.86956662,110488699.44975281,24061458.174712792,111133362.02717128
84,108868568.6021307,109235400.0558759,23854691.822042964,110011459.57724632
85,107753260.09799312,108156480.16191633,23673959.203376267,108943056.35987332
86,106724830.07708053,107080535.03765184,23529599.205727424,107881801.49673821
87,105650785.79048832,105731515.7751742,23361706.953659195,106818924.59185697
88,104656897.53347024,104746621.27470174,23260368.821322281,105745436.14028342
89,103590043.54781394,103811969.88468921,23130544.13446008,104754300.46458334
90,102565328.92632239,102847722.7107279,23000551.161038943,103688184.78170361
91,101556163.4895639,101635543.43678603,22877497.62059968,102669897.94987372
92,100578153.23309334,100561441.52894199,22723344.910229109,101659493.44427708
93,99533130.142433912,99577743.731161758,22551412.431396253,100646530.28657693
94,98541326.751475707,98460134.984096736,22416812.391722485,99627022.83369121
95,97468501.670017764,97471157.727294743,22229067.743565001,98623575.112415925
96,96532406.304480314,96533831.91173473,22060174.854557782,97574625.402545244
97,95508052.995668545,95537861.078528076,21877511.293635305,96621040.052765027
98,94526358.367936045,94750728.091034517,21670724.415392414,95609560.051873535
99,93530855.063961446,93588439.615127876,21571375.861666072,94601746.770404756
100,92599409.255697593,92127431.621454269,21452169.741023842,93628573.286789119
101,91698520.604403481,91089455.020615578,21283861.922758009,92671346.070524544
102,90807912.451887295,90007271.452366278,21121925.293549061,91783949.273687303
103,89856153.860838816,89061293.824594244,20880222.628792305,90866645.259782344
104,88938724.772613138,88169580.480113819,20677252.239124797,89954059.191848099
105,88043169.222908571,87260350.275522381,20467061.526887603,89002325.085579455
106,87102784.227827027,86272859.679124385,20301387.470619403,88101713.044797048
107,86172274.017932042,85374103.462003738,20118230.616944809,87184524.996134996
108,85232262.955790713,84370247.108990639,19959113.058330227,86235719.586775497
109,84406212.743130594,83710811.056133375,19800407.855667833,85333339.1753259
110,83543620.320072263,82912764.016713247,19670966.620538525,84480513.415450141
111,82676906.936298683,82160990.390469432,19520652.835310299,83642221.841255844
112,81803225.111852482,81289127.192422464,19378582.80149442,82745657.071952298
113,80954661.634144351,80445123.924764529,19277042.852191254,81882312.186959729
114,80096930.360060364,79651282.463418081,19122046.46282924,81024213.30640845
115,79282049.718958512,78915780.75712426,19007356.421498001,80157306.716383353
116,78448099.072538063,77880167.134944499,18841223.126852583,79367671.447584972
117,77622757.053698301,76801565.763718694,18733669.71753028,78514293.971467495
118,76807867.550547615,75927302.100261211,18545517.241050895,77697430.698773175
119,76008637.743050411,75336033.370834634,18471005.984421242,76873782.233314171
120,75160333.856103167,74226989.769684911,18353117.310591698,76073222.003016338
121,74354117.568344057,73440051.704918474,18203406.621946756,75232852.780094847
122,73573370.050130829,72822800.684746325,18060905.529729359,74416422.990918636
123,72769148.217652529,72084838.47390534,17931451.256342236,73626161.931349114
124,71989990.612131029,71442175.120728672,17796283.125929244,72840586.493588075
125,71159170.694338977,70217882.843952596,17667792.558935694,72055600.370182067
126,70403903.297388449,69377037.318687692,17528580.372683898,71237209.024567232
127,69648096.264378116,68606963.697143286,17385476.167445946,70472633.850872353
128,68887781.692190975,67588826.75183931,17250671.764803343,69720998.864472538
129,68138071.585508555,66851730.19491528,17130260.420977723,68945879.693486482
130,67404979.096541688,66115380.103175528,17025315.567755878,68200287.298032358
131,66704148.429841496,65338611.947891101,16901855.710371558,67477400.391178355
132,65991328.57065662,64710642.795627043,16795623.274437547,66771726.921255596
133,65279622.528669573,64040947.109112784,16650600.259263976,66056396.688698724
134,64566903.057641059,63206398.157715544,16512943.881689619,65334741.656691425
135,63827681.996928051,62595984.319672607,16343664.496259831,64642799.790420584
136,63123846.004928105,61980187.504949018,16191083.289012576,63901091.9675951
137,62479668.529524848,61415223.364436865,16103637.844851078,63180509.924854629
138,61782078.489009649,60783142.694547713,15994351.192460328,62534103.599253498
