iter,avg_best,median_best,std_best,avg_mean
0,63253.4,63911.7,6417.18,100627
1,49206.4,49684.8,5107.59,80035
2,31921.5,31877.4,3582.78,54119.9
3,16994.2,17139.9,1974.96,31065.8
4,7060.97,7039.02,907.41,14465.9
5,2663.7,2687.38,559.8,5375.16
6,1841.75,1741.1,462.803,3080.48
7,1692.31,1655.18,432.667,3237.05
8,1479.85,1420.79,419.649,2478.2
9,1366.98,1340.96,408.324,1879.84
10,1232.87,1200.12,365.969,1709.08
11,1066.25,973.775,340.613,1410.58
12,920.577,873.533,325.332,1265.17
13,814.763,751.975,287.785,1050.3
14,691.272,639.466,254.051,967.349
15,580.852,556.745,215.648,769.443
16,512.67,494.953,183.343,741.925
17,411.074,396.519,174.837,560.559
18,362.351,346.054,141.981,582.469
19,288.99,267.332,129.672,414.029
20,268.226,250.479,112.155,474.118
21,206.15,181.587,100.456,328.074
22,188.693,167.919,79.0557,400.495
23,153.845,136.195,68.4285,270.551
24,140.661,135.056,54.5135,338.106
25,120.02,107.739,53.469,226.074
26,112.53,104.395,43.7521,287.261
27,95.0005,82.508,41.029,187.682
28,87.9754,80.4692,35.1235,246.544
29,74.3851,66.8058,30.7514,158.764
30,70.5066,66.8058,25.6326,215.165
31,59.4623,55.4367,22.8989,136.087
32,57.1761,55.4367,18.7584,194.057
33,50.4579,46.1139,18.295,124.542
34,48.463,46.1139,16.6864,174.78
35,42.8947,41.4875,15.09,110.705
36,41.1816,40.6923,12.9193,154.588
37,37.3049,35.7532,12.0703,96.4861
38,36.6422,35.5376,11.4456,141.804
39,33.0553,31.3967,11.1197,83.4435
40,32.0401,31.3967,10.8036,132.936
41,27.9657,24.9569,8.90793,78.2747
42,27.4649,24.0461,8.66882,118.309
43,24.8116,23.5023,6.62308,69.699
44,24.1771,23.1746,6.20587,107.715
45,22.3797,20.6872,6.67852,65.7947
46,21.6725,20.1868,6.55148,98.2552
47,19.4415,17.9069,5.91966,57.7413
48,19.0964,17.7581,6.1456,88.9013
49,17.2551,15.604,5.37997,52.3413
50,16.6759,15.2506,5.28431,82.0154
51,15.3738,14.0846,4.41721,48.8568
52,15.2541,14.0846,4.41767,73.3001
53,13.8669,13.1161,3.64893,44.5848
54,13.741,13.0215,3.59073,69.4047
55,12.8283,12.3505,3.61858,41.4124
56,12.5105,11.848,3.48224,65.2872
57,11.6334,11.2506,3.3382,39.4804
58,11.535,10.6947,3.32936,59.9283
59,10.4687,9.77738,2.70134,34.7513
60,10.3113,9.64242,2.74749,53.9648
61,9.62182,8.94278,2.5606,31.54
62,9.53243,8.86462,2.57116,49.6707
63,8.89442,8.39793,2.33771,30.0986
64,8.81061,8.33509,2.31894,46.2528
65,8.22388,8.27582,2.04013,27.1288
66,8.12985,8.04499,2.05005,43.3335
67,7.69205,7.55531,2.01409,25.0368
68,7.48901,7.49068,2.04768,39.1514
69,7.05777,6.77995,2.00492,22.6727
70,6.98638,6.7374,2.03121,35.2969
71,6.5129,6.1441,1.80776,21.2125
72,6.39412,6.12756,1.81166,32.2925
73,5.84945,5.43422,1.61146,19.2039
74,5.69879,5.29579,1.58914,30.031
75,5.16891,5.0424,1.50698,17.4709
76,5.09426,4.88647,1.49747,28.0351
77,4.86748,4.51766,1.21989,16.8058
78,4.83802,4.51766,1.23329,26.2284
79,4.45793,4.16549,1.21301,15.5345
80,4.30254,4.04284,1.24637,23.4869
81,4.03296,3.71897,1.13058,14.0407
82,4.00628,3.71897,1.12883,21.3425
83,3.71018,3.66293,1.0701,12.7605
84,3.65907,3.63826,1.08454,19.8096
85,3.48968,3.29986,1.08018,11.794
86,3.43652,3.26008,1.08094,18.027
87,3.19649,3.02695,0.946329,10.822
88,3.14615,3.00326,0.948348,16.8124
89,2.91878,2.8592,0.787559,9.89481
90,2.89131,2.71016,0.793006,15.6679
91,2.70722,2.58329,0.777713,9.02092
92,2.64699,2.52067,0.74399,14.5434
93,2.49504,2.39806,0.734449,8.41657
94,2.46566,2.32569,0.756535,13.1752
95,2.33816,2.19533,0.634413,7.87155
96,2.27914,2.12713,0.650766,12.2399
97,2.19634,2.09017,0.644818,7.27299
98,2.14074,2.06564,0.63645,11.1476
99,2.01656,1.93112,0.602415,6.65231
100,1.98592,1.84798,0.60975,10.2354
101,1.86257,1.71107,0.518554,5.85979
102,1.82638,1.67953,0.550795,9.26427
103,1.63976,1.51967,0.493875,5.47354
104,1.59508,1.46083,0.509449,8.66503
105,1.54057,1.42115,0.505581,5.05155
106,1.53329,1.39637,0.507477,7.85805
107,1.40076,1.28773,0.46993,4.43772
108,1.3801,1.25756,0.467135,7.35971
109,1.29401,1.20979,0.431333,4.08518
110,1.27451,1.20306,0.442104,6.67655
111,1.14134,1.12972,0.364536,3.76551
112,1.11633,1.01158,0.373419,6.32733
113,0.989972,0.94378,0.253831,3.66325
114,0.986574,0.929784,0.254907,5.83432
115,0.889435,0.86375,0.19077,3.42739
116,0.881449,0.86375,0.197835,5.34698
117,0.834814,0.848664,0.176859,3.09426
118,0.823437,0.820943,0.180541,4.94002
119,0.767883,0.749336,0.163716,2.80185
120,0.749527,0.73757,0.173574,4.54
121,0.697824,0.640674,0.157704,2.58492
122,0.695713,0.634851,0.158931,4.22442
123,0.653331,0.603992,0.132493,2.3759
124,0.650111,0.590261,0.133388,3.82087
125,0.61155,0.569987,0.117448,2.24424
126,0.611414,0.569987,0.117543,3.60624
127,0.590189,0.558253,0.117282,2.13879
128,0.589917,0.558253,0.117438,3.25512
129,0.551794,0.538178,0.0795897,1.8946
130,0.540716,0.521108,0.0867146,3.02243
131,0.522595,0.516605,0.0912851,1.81826
132,0.521838,0.511206,0.0914066,2.69248
133,0.480244,0.466497,0.0985255,1.59893
134,0.473638,0.454077,0.101979,2.49113
135,0.445747,0.413624,0.10706,1.47609
136,0.442915,0.405202,0.107762,2.32011
137,0.38781,0.386381,0.105766,1.36615
138,0.380152,0.385473,0.109542,2.12964
139,0.362177,0.385473,0.100138,1.22507
140,0.351088,0.361604,0.0877352,1.9629
141,0.322423,0.330382,0.0722999,1.08117
142,0.314412,0.318957,0.0699716,1.80324
143,0.294442,0.300259,0.0594115,1.04145
144,0.283321,0.278207,0.0524429,1.59731
145,0.268279,0.262227,0.0503545,0.967478
146,0.262494,0.258593,0.0515731,1.4613
147,0.240567,0.247054,0.0449624,0.84854
148,0.236245,0.239439,0.0439369,1.33058
149,0.227128,0.232192,0.0461925,0.775624
150,0.221461,0.221542,0.0466974,1.25418
151,0.206258,0.202799,0.0418984,0.735342
152,0.20165,0.201526,0.0439269,1.15487
153,0.186299,0.185045,0.0361415,0.689939
154,0.184024,0.18335,0.0378064,1.04194
155,0.17139,0.174253,0.0364604,0.622768
156,0.171073,0.174253,0.0362964,0.969949
157,0.161207,0.161293,0.0338402,0.58233
158,0.158789,0.155029,0.034248,0.908261
159,0.151671,0.147007,0.0326401,0.540968
160,0.150863,0.147007,0.0321729,0.841534
161,0.14137,0.14208,0.0299533,0.496502
162,0.139044,0.138344,0.032004,0.768026
163,0.13069,0.130487,0.0298099,0.453112
164,0.127273,0.124077,0.027299,0.688816
165,0.11615,0.110329,0.0271678,0.411225
166,0.114564,0.109269,0.0278538,0.634727
167,0.109023,0.105853,0.024908,0.38195
168,0.107583,0.105853,0.0243387,0.569647
169,0.0981456,0.0984663,0.0184521,0.347804
170,0.095268,0.0966443,0.0168373,0.543288
171,0.0875389,0.0874881,0.0144866,0.320138
172,0.0875389,0.0874881,0.0144866,0.501015
173,0.0835815,0.0831195,0.0137618,0.29333
174,0.0819709,0.0825303,0.0157441,0.469686
175,0.0763859,0.0767112,0.0141623,0.28388
176,0.0763859,0.0767112,0.0141623,0.430623
177,0.0716486,0.0704813,0.0129505,0.256343
178,0.0705539,0.0704813,0.0133403,0.397576
179,0.0666508,0.0666487,0.0137226,0.228652
180,0.0663819,0.0666487,0.0135202,0.365195
181,0.0610522,0.0582726,0.0127516,0.21424
182,0.060382,0.0576685,0.0130439,0.333706
183,0.0567974,0.0552683,0.013699,0.192826
184,0.0553515,0.0551024,0.0118314,0.296894
185,0.0525089,0.0521341,0.0100737,0.175529
186,0.0507171,0.0491706,0.00949575,0.266608
187,0.0470796,0.0473107,0.00790373,0.151338
188,0.046754,0.0473107,0.00812268,0.256264
189,0.0422459,0.040962,0.00975821,0.149644
190,0.0410758,0.038406,0.00877131,0.233859
191,0.0385238,0.036709,0.00799589,0.138195
192,0.0376513,0.0353127,0.00746008,0.219915
193,0.0354105,0.0340481,0.00688981,0.124504
194,0.0347683,0.0338207,0.00658097,0.204347
195,0.0327802,0.0334984,0.00612522,0.115456
196,0.0323556,0.0331395,0.00613159,0.181415
197,0.0311867,0.0323259,0.00598829,0.101349
198,0.0299899,0.030582,0.00595517,0.167015
199,0.028209,0.0276658,0.00566312,0.0959461
200,0.0277193,0.0270697,0.00562725,0.151938
201,0.0259523,0.0262563,0.005299,0.0864401
202,0.0252782,0.0259989,0.00554702,0.141321
203,0.023561,0.0237275,0.00570335,0.0796895
204,0.022637,0.0234817,0.00538951,0.132745
205,0.0213105,0.0225257,0.00527531,0.0743558
206,0.0211128,0.0223085,0.00533114,0.122283
207,0.019913,0.0189091,0.00483681,0.0685799
208,0.0196831,0.0189091,0.00462516,0.109279
209,0.0187877,0.0170414,0.00473284,0.0614925
210,0.0184893,0.0170414,0.00448256,0.0976994
211,0.0174485,0.0164308,0.00415147,0.0559432
212,0.0172202,0.0163368,0.00421685,0.0915925
