iter,avg_best,median_best,std_best,avg_mean
0,66734.05998860109,67540.893848078078,7336.2690494350391,99930.462257854437
1,66481.165004988929,67268.244580623446,7330.3459309881746,69925.666367789512
2,66207.456871641276,66972.126309919491,7311.3947842124153,66845.051705299018
3,65946.275301605332,66698.615879429068,7311.4403837013242,66268.529445558801
4,65688.579601433667,66427.326405630767,7308.1042764358144,65968.34709514548
5,65440.581075749622,66157.960200420348,7296.004676113469,65714.078516388734
6,65183.124906185032,65909.122823560727,7288.1971355602882,65463.094234372125
7,64932.563363963352,65692.889888706763,7262.9980361861299,65205.067771426795
8,64664.669250826075,65361.324690089546,7249.1758287352759,64951.12106592788
9,64412.222165181483,65142.284575228427,7232.5352512544141,64680.353729528273
10,64156.098615275565,64883.410322444484,7220.9882078333267,64427.077122342911
11,63890.781373867278,64618.357556090967,7202.9861563462691,64175.926948813227
12,63630.000085550964,64399.875644331958,7179.2620706797225,63911.005573244183
13,63368.902735179377,64163.599728642715,7146.8457187786171,63654.344910515363
14,63129.767097472781,63872.505715174331,7129.3458497906877,63390.182789815888
15,62875.292301874382,63589.488299858305,7128.0456698257385,63145.497408438408
16,62601.779530835069,63296.644798074238,7107.9928394298313,62894.910425364687
17,62334.969935936715,63039.624433314981,7106.1173501257181,62628.250904137167
18,62077.855505606029,62815.284787525961,7102.6335735591674,62357.649835444958
19,61821.899137886227,62571.268756327452,7087.9739808492786,62101.17978366356
20,61564.903097591101,62341.146875254752,7058.93953466729,61839.765897518424
21,61315.065149868467,62116.881341079395,7047.7934428003218,61584.358283940368
22,61072.234631559833,61899.839084295134,7030.5814313171522,61334.674561668806
23,60834.081609657944,61638.461411388707,7036.0745200334823,61091.101583148622
24,60593.854161936404,61377.877468358565,7031.9600402544957,60856.846599946111
25,60337.704338444695,61145.53791606403,7012.0775395759392,60612.873278650251
26,60108.185490592019,60842.03555385847,6992.1621941858311,60365.56857665877
27,59864.044868772246,60577.30609184174,6972.3176660505524,60125.406695268481
28,59621.132464472874,60284.63134778371,6952.3398240368524,59883.057396566459
29,59380.367224257141,60019.954931664361,6931.1330669300123,59644.652099025334
30,59145.065514541071,59756.313884691524,6926.9285402674623,59400.280299072838
31,58906.314503957794,59517.202484264155,6899.7696573595967,59166.44241936141
32,58673.892495628381,59227.532504248346,6881.914583798537,58927.876349702819
33,58424.327727442673,58952.729161191397,6859.2206527538719,58691.273370909315
34,58181.994355281626,58733.71957209189,6833.8049881531024,58437.23726966176
35,57929.237300918074,58508.673604075186,6818.5235649657989,58202.499022920747
36,57679.797243486551,58189.861984160074,6799.5884931258788,57952.523832309962
37,57426.165929239876,57923.322914137374,6786.8255486607586,57699.538100747021
38,57174.552481352017,57625.41838371387,6764.6844807626976,57443.945655662232
39,56960.621208798395,57401.712571704789,6745.8359238212615,57199.895694666418
40,56738.366148376321,57224.616973383338,6717.1517800149923,56983.10804861776
41,56500.733862913927,56981.629242899056,6692.6294897337739,56756.491315191925
42,56260.499652210674,56716.858808911253,6672.2691571615042,56525.230418004518
43,56014.752934316166,56529.271093637282,6658.832247848336,56280.866580974522
44,55780.238222391148,56299.607240881698,6638.45809906259,56028.320359824989
45,55550.433190789103,56017.42697845964,6622.0588804818435,55804.258632081655
46,55298.739573439816,55797.511471424528,6609.0746888762051,55569.301831323064
47,55063.286625389592,55536.795418172129,6600.9148582592152,55321.454206729395
48,54827.922040110687,55285.008497959956,6592.2569930217314,55083.224765225154
49,54599.659047806737,55063.607576103357,6574.5881028199519,54844.611714769584
50,54371.397919130024,54855.546094989346,6566.2483744793381,54621.710031961898
51,54144.333534853613,54628.100200656445,6547.0033952896174,54391.722202671088
52,53907.990919283409,54358.746376338371,6530.1278146189943,54163.808939040093
53,53676.892088144385,54148.887358043161,6530.2238870996707,53922.395005951257
54,53449.096211028169,53867.767262418711,6520.879384840222,53694.352679981006
55,53230.528821287815,53637.083848488488,6506.2282546353872,53472.028467917829
56,53004.832138400423,53422.208356749077,6478.8587320707138,53250.961738366736
57,52780.719746557617,53189.085846047208,6475.4331566369947,53024.919000266309
58,52544.698618467359,52957.279578630172,6450.5366508678007,52793.797787935568
59,52319.624181190644,52760.456345546154,6434.5638212785689,52564.593927676011
60,52099.22472122313,52526.785616585788,6418.5418729516505,52342.925953033249
61,51870.82321405792,52301.256337327191,6390.8916029270622,52115.530408198298
62,51635.57464338946,52029.349173558461,6380.408497824933,51884.366593766645
63,51399.159172991589,51711.978766967302,6373.3654011661492,51654.494093896021
64,51178.198315656926,51443.760051250698,6354.3396666647868,51419.985488895545
65,50957.288257528977,51222.933425055919,6348.8891473318345,51197.434216285663
66,50725.466974167859,51041.502681329817,6335.3662676523791,50976.651355030583
67,50518.032323375803,50833.632096811336,6310.2782268821293,50749.738098759364
68,50298.98726980191,50639.850405534737,6291.4108675306643,50533.383626485265
69,50078.241699429018,50404.968286178322,6269.1232836639501,50316.689750152669
70,49843.849055800449,50172.003516046963,6247.454382329297,50096.360099003992
71,49621.095860282796,49941.548355875762,6234.7268844966584,49858.329065760416
72,49394.564567950227,49721.932967337962,6223.9744087305289,49639.6519087899
73,49177.003187149363,49533.757165660354,6200.7794876614498,49407.257628813488
74,48956.781998137616,49363.487645561872,6181.5445276238925,49191.846169435259
75,48728.96111070639,49154.870663888287,6176.0849244001938,48973.730019150724
76,48507.527128650472,48965.783919110152,6174.5894457414915,48750.145269461231
77,48287.412500959384,48784.244590658083,6163.2594314519793,48526.200629007966
78,48067.898922390123,48608.238264184576,6151.2729338540657,48304.822895123485
79,47833.333706284982,48386.068405872335,6131.4260110771629,48087.298898705914
80,47613.761818094812,48187.317148328402,6115.9286328606813,47855.173742739738
81,47401.559700781501,48032.376196459372,6097.8533350191219,47638.669536142515
82,47191.556027935665,47839.529526849561,6088.0473914230406,47418.795051722584
83,46967.000670989815,47590.350102331868,6057.9033734393997,47210.476115060606
84,46753.563104945439,47440.405518492924,6037.0588294953086,46988.334625362528
85,46534.975229809555,47245.480232061702,6009.7709855498324,46771.441845207337
86,46337.305279911423,46992.234456916267,6003.7933738610773,46559.533441893138
87,46129.73164745127,46755.760954409241,5995.8960950186101,46353.468773069813
88,45922.721535310244,46509.312481097826,5983.8633555535071,46147.211094934071
89,45705.521454142297,46230.122301412703,5965.7342483164657,45941.370850671366
