iteration,best_so_far,best_iter,worst_iter,mean_fitness,median_fitness,stddev_fitness
1,1008.55,1008.55,9602.83,4154.94,3856.89,2029.34
2,30.4947,30.4947,9602.83,256.556,57.8005,1335.44
3,30.4947,457.049,10434,3834.25,3501.7,2380.22
4,30.4947,58.768,10411.1,1335.46,859.555,1705.61
5,30.4947,121.742,10471.3,1125.31,822.674,1480
6,30.4947,53.9829,10548.9,612.801,279.592,1473.03
7,30.4947,74.3937,10577,1084.89,668.462,1539.36
8,30.4947,50.9038,10596.3,447.124,169.571,1466.29
9,30.4947,177.225,10610,1284.28,722.548,1583.78
10,30.4947,30.6068,10621.8,512.633,142.925,1521.19
11,30.4947,69.7415,10633.1,1390.09,1038.57,1597.36
12,30.4947,45.9675,10642.8,580.514,154.351,1549.19
13,30.4947,56.9973,10652.4,1497.97,1077.27,1643.44
14,30.3834,30.3834,10660,571.792,111.958,1548.67
15,30.3834,64.8226,10666,1246.05,810.295,1596.49
16,30.3834,43.1072,10671.2,596.043,115.905,1569.2
17,30.3834,75.1184,10672.9,1226.19,730.953,1578.4
18,30.3834,33.7015,10674.4,522.418,140.966,1523.77
19,30.3834,182.994,10674.7,1593.32,1186.57,1686.69
20,30.3834,50.713,10675.1,574.772,181.368,1527.2
21,30.3834,229.581,10675.1,1709.14,1442.1,1637.03
22,30.3834,52.05,10675.1,532.922,198.135,1500.68
23,30.3834,134.34,10675.1,1573.28,985.833,1780.34
24,30.3834,48.2356,10675.1,713.758,246.98,1608.63
25,30.3834,89.8942,10675.1,1167.66,743.707,1602.26
26,30.3834,47.4802,10675.1,497.751,182.911,1510.31
27,30.3834,98.8365,10675.1,1419.7,965.461,1599.25
28,30.3834,53.5515,10675.1,560.907,226.504,1511.92
29,30.3834,149.662,10675.1,1563.99,1083.61,1619.29
30,30.3834,37.4145,10675.1,607.505,214.347,1563.36
31,30.3834,137.915,10675.1,1437.36,986.908,1612.19
32,25.9426,25.9426,10675.1,487.251,140.847,1528.09
33,25.9426,66.8591,10675.1,1428.71,934.359,1598.71
34,25.9426,38.54,10675.1,512.921,155.177,1507.37
35,25.9426,262.903,10675.1,1605.67,1361.28,1540.06
36,25.9426,47.7786,10675.1,615.946,231.926,1510.4
37,25.9426,214.153,10675.1,1852.47,1449.15,1655.44
38,25.9426,39.437,10675.1,748.024,247.864,1587.06
39,25.9426,209.754,10675.1,1830.69,1356.33,1808.04
40,25.9426,83.7082,10675.1,713.292,256.864,1536.97
41,25.9426,146.486,10675.1,1673.78,1244.5,1707.39
42,25.9426,67.0805,10675.1,792.404,244.355,1577.79
43,25.9426,121.324,10675.1,1429.14,1045.5,1545.99
44,25.9426,55.7579,10675.1,728.362,240.18,1558.19
45,25.9426,208.736,10675.1,1394.1,903.476,1603.26
46,25.9426,80.7169,10675.1,526.294,224.771,1494.2
47,25.9426,151.202,10675.1,1331.7,908.933,1559.45
48,25.9426,52.2462,10675.1,545.66,223.202,1519.11
49,25.9426,139.551,10675.1,1563.57,1267.87,1631.1
50,25.9426,77.2621,10675.1,507.729,191.514,1488.93
51,25.9426,137.919,10675.1,1803.6,1419.8,1769.99
52,25.9426,71.3347,10675.1,785.116,250.222,1622.65
53,25.9426,104.567,10675.1,1494.5,812.06,1737.96
54,25.9426,55.3078,10675.1,715.679,136.28,1583.23
55,25.9426,111.195,10675.1,1319.76,965.192,1570.26
56,25.9426,28.0909,10675.1,583.282,151.991,1570
57,25.9426,147.437,10675.1,1302.83,858.531,1591.91
58,25.9426,58.4527,10675.1,584.167,149.008,1537.52
59,25.9426,99.2841,10675.1,1226.45,850.27,1622.64
60,25.9426,27.3784,10675.1,483.256,111.059,1509.26
61,25.9426,72.717,10675.1,1165.61,456.127,1703.71
62,25.9426,36.762,10675.1,417.399,108.686,1496.49
63,25.9426,82.6379,10675.1,1158.52,670.475,1580.44
64,25.9426,39.8361,10675.1,486.324,103.153,1520.74
65,25.9426,84.2704,10675.1,1071.39,545.774,1543.27
66,25.9426,47.5829,10675.1,438.455,92.8597,1503.84
67,25.9426,45.9486,10675.1,1152.84,714.457,1511.89
68,25.9426,26.3627,10675.1,522.917,150.898,1523.23
69,25.9426,99.9903,10675.1,1323.1,919.22,1549.15
70,25.9426,40.788,10675.1,496.728,111.414,1515.47
71,25.9426,102.094,10675.1,1255.61,687.942,1609.13
72,25.9426,38.9194,10675.1,571.633,129.159,1551.02
73,25.9426,118.54,10675.1,1271.22,836.048,1590.4
74,25.9426,34.343,10675.1,473.724,157.875,1489.26
75,25.9426,118.13,10675.1,1138.98,747.037,1602.67
76,25.9426,34.6063,10675.1,491.064,118.919,1523.92
77,25.9426,76.9406,10675.1,1050.26,655.396,1512.98
