iteration,agent,x,y,mass,fitness
0,0,2.91697,6.76308,0.0406267,54.248
0,1,3.317,0.48731,0.0596886,11.2399
0,2,-8.87709,2.02425,0.0279276,82.9004
0,3,5.32242,8.30276,0.0215614,97.2639
0,4,9.05815,2.83434,0.0247438,90.0836
0,5,5.55098,0.311479,0.0509703,30.9104
0,6,9.29156,-2.83698,0.0228389,94.3816
0,7,4.18607,-0.38377,0.0568384,17.6705
0,8,-6.29085,-8.51486,0.0149958,112.078
0,9,8.37698,4.75295,0.0235558,92.7642
0,10,1.27911,6.19684,0.0469253,40.0369
0,11,-4.50458,-7.82482,0.0285398,81.5191
0,12,-6.31324,7.52803,0.0218875,96.5282
0,13,-8.65078,4.12155,0.0239728,91.8232
0,14,6.59058,9.66142,0.00404789,136.779
0,15,1.94212,5.38234,0.0501588,32.7414
0,16,-8.74551,-7.22938,0.00760725,128.748
0,17,6.99228,3.82163,0.0365275,63.4969
0,18,1.6241,-1.55523,0.0624292,5.05643
0,19,4.59245,-7.64617,0.0294105,79.5545
0,20,-3.13726,1.37764,0.0594668,11.7403
0,21,-4.03227,-0.997193,0.0570232,17.2536
0,22,-1.50742,3.92078,0.0568498,17.6448
0,23,-9.68308,-7.1649,0.000360698,145.098
0,24,3.06381,-4.39111,0.0519638,28.6688
0,25,-8.97789,-0.927685,0.0285646,81.4631
0,26,4.2278,-3.77694,0.0504255,32.1396
0,27,9.7965,7.06685,0,145.912
0,28,-7.34912,-7.69517,0.0144871,113.225
0,29,-6.11191,7.12642,0.0256047,88.1414
1,0,0.928583,1.66687,0.0359838,3.64071
1,1,1.9815,1.02369,0.0356465,4.97428
1,2,-2.98141,0.892528,0.0344549,9.68538
1,3,2.81179,2.30531,0.0335608,13.2206
1,4,3.85051,2.21025,0.031919,19.7116
1,5,1.65486,0.474375,0.036155,2.96358
1,6,2.31973,-0.655139,0.035435,5.81037
1,7,1.80772,0.25279,0.0360619,3.33176
1,8,-3.09329,-3.03303,0.0321578,18.7677
1,9,3.00693,1.48285,0.0340616,11.2404
1,10,0.964228,0.760006,0.0365233,1.50734
1,11,-1.78633,-2.22049,0.0348505,8.12153
1,12,-2.4724,3.16494,0.032825,16.1296
1,13,-3.35289,2.70999,0.0322038,18.5859
1,14,2.7349,4.10953,0.0307414,24.3679
1,15,0.937488,0.478287,0.0366244,1.10764
1,16,-3.61061,-3.15067,0.0310966,22.9632
1,17,1.72206,2.22972,0.0348971,7.93714
1,18,2.81026,0.96476,0.0346717,8.8283
1,19,2.21742,-1.93985,0.0347092,8.67998
1,20,0.472197,0.865261,0.0366588,0.971646
1,21,-0.165632,2.50635,0.0353088,6.3092
1,22,0.717584,0.727676,0.0366404,1.04444
1,23,-3.86255,-2.51834,0.0315271,21.2613
1,24,1.7048,0.702468,0.0360447,3.39982
1,25,-3.0207,0.121208,0.034593,9.13934
1,26,0.908429,-1.14299,0.0363654,2.13167
1,27,9.7965,7.06685,0,145.912
1,28,-1.81711,-2.15341,0.0348966,7.93909
1,29,-2.30325,2.93396,0.0333856,13.9131
2,0,-1.02545,-2.99403,0.0360684,10.0158
2,1,-1.37105,0.781431,0.0380657,2.49041
2,2,5.13897,-0.216854,0.031705,26.456
2,3,-3.20066,-2.86524,0.0338289,18.4538
2,4,-0.25685,-0.428656,0.0386604,0.249718
2,5,-2.43134,0.830017,0.0369749,6.60035
2,6,-4.5173,2.84748,0.0311587,28.5141
2,7,-0.221662,1.5908,0.038042,2.57978
2,8,2.21019,2.21424,0.0361289,9.78782
2,9,-1.94074,-0.444157,0.0376747,3.96373
2,10,1.04651,-2.41888,0.0368831,6.94615
2,11,2.93527,5.26317,0.0290878,36.3167
2,12,1.91756,-2.49209,0.0361024,9.88757
2,13,6.53489,-0.737709,0.0272479,43.249
2,14,-1.12388,-3.45,0.0352324,13.1656
2,15,0.0604579,-1.95954,0.0377066,3.84346
2,16,4.0486,1.76407,0.0335503,19.5031
2,17,-4.05083,-1.85042,0.0334627,19.8333
2,18,-1.33626,1.628,0.0375494,4.43596
2,19,-2.68279,7.25712,0.0228383,59.8632
2,20,2.75427,0.231832,0.036699,7.63972
2,21,1.45747,1.13606,0.0378204,3.41486
2,22,1.61922,0.423731,0.0379832,2.80143
2,23,6.73376,3.05977,0.0242072,54.7057
2,24,-1.72108,3.63605,0.0344316,16.183
2,25,4.95567,1.24967,0.0317941,26.1203
2,26,-1.96975,2.88914,0.0354815,12.227
2,27,9.7965,7.06685,0,145.912
2,28,1.23771,2.99898,0.035933,10.5258
2,29,1.39286,-1.41362,0.0376814,3.93838
3,0,-1.12121,-3.5616,0.0366275,13.9421
3,1,-3.06196,0.686984,0.0377639,9.84754
3,2,4.91313,-0.47417,0.033735,24.3637
3,3,-3.74308,-2.27541,0.0351715,19.1881
3,4,-3.80694,-2.48369,0.0347626,20.6615
3,5,-2.02737,0.855018,0.0391534,4.8413
3,6,-2.81116,4.09498,0.0336496,24.6715
3,7,-1.00772,0.840857,0.040019,1.72254
3,8,1.02963,5.8217,0.0307962,34.9523
3,9,-3.82042,-1.4133,0.0358917,16.593
3,10,0.96871,-1.8805,0.0392551,4.47468
3,11,3.78829,3.61127,0.0328944,27.3924
3,12,3.71272,-1.97908,0.0355842,17.701
3,13,10,-1.04065,0.012442,101.083
3,14,-2.66623,-3.3881,0.035338,18.588
3,15,-0.536637,-0.466752,0.0403567,0.505837
3,16,6.10564,5.45125,0.0219029,66.995
3,17,-1.03364,-3.37463,0.0370398,12.4565
3,18,-0.240486,0.0677782,0.0404797,0.0624275
3,19,-1.66823,3.43815,0.0364438,14.6039
3,20,1.4592,-0.267349,0.0398862,2.20075
3,21,2.01855,0.348544,0.0393325,4.19603
3,22,1.06546,0.679956,0.0400537,1.59754
3,23,10,1.81709,0.0118262,103.302
3,24,-2.28489,1.2331,0.038626,6.74127
3,25,6.63337,1.71288,0.0274703,46.9356
3,26,-0.823089,2.31363,0.0388234,6.03038
3,27,9.7965,7.06685,0,145.912
3,28,2.47943,0.495948,0.0387226,6.39356
3,29,3.31703,-2.31801,0.035952,16.3759
4,0,-0.812991,-0.993526,0.0370936,1.64805
4,1,-1.64028,0.251469,0.0368093,2.75376
4,2,1.90437,-0.576861,0.0364993,3.9594
4,3,-1.54313,-0.142033,0.0368999,2.40142
4,4,-2.67813,-0.659491,0.0355614,7.60732
4,5,-0.224929,0.37307,0.0374686,0.189774
